PopID	Round	defense	TrayPos	Indiv	Rem.pro	MostEat	EatDiffI.N	MostEat.Scan	eat.bin	Origin	Eaten.mm	Eaten.log	Latitude	Longitude	Exp	Mom	Eaten.pro	Barcode	CrossNum	Trt	Rack	Pos
3	BG001	1	const	2-6	j	0.972	nat	-0.028	nat	0	nat	1.30385519901937	0.834583893210807	43.3819444444444	28.4575	st	17	0.028	NA	NA	NA	NA	NA
4	BG001	1	const	2-6	j	0.972	nat	-0.028	nat	1	nat	1.30385519901937	0.834583893210807	43.3819444444444	28.4575	st	17	0.028	NA	NA	NA	NA	NA
5	BG001	1	const	NA	NA	NA	nat	NA	nat	1	nat	NA	NA	43.3819444444444	28.4575	mat fx	NA	NA	BG001-17-2	17	cut	8	10
6	BG001	1	const	NA	NA	NA	nat	NA	nat	1	nat	NA	NA	43.3819444444444	28.4575	mat fx	NA	NA	BG001-8-5	8	cut	8	43
7	BG001	1	const	NA	NA	NA	NA	NA	tie	3	nat	NA	NA	43.3819444444444	28.4575	mat fx	NA	NA	BG001-3-1	3	cut	8	50
8	BG001	1	Induced 1	NA	NA	0.782	nat	-2.77294185	nat	1	nat	6.7921497	2.05311677816801	43.3819444444444	28.4575	mat fx	NA	NA	BG001-3-1	3	cut	8	50
9	BG001	1	Induced 1	NA	NA	0.919	NA	-2.52368865	nat	1	nat	2.52368865	1.25950835286539	43.3819444444444	28.4575	mat fx	NA	NA	BG001-8-5	8	cut	8	43
10	BG001	1	Induced 2	NA	NA	0.641	nat	-2.299117457	nat	1	nat	11.19659891	2.50115713500458	43.3819444444444	28.4575	mat fx	NA	NA	BG001-8-5	8	cut	8	43
11	BG001	1	Induced 2	NA	NA	0.958	inv	14.80507922	inv	0	nat	1.299052912	0.832497260740209	43.3819444444444	28.4575	mat fx	NA	NA	BG001-3-1	3	cut	8	50
12	BG001	1	Induced 2	NA	NA	0.989	NA	2.041368862	inv	0	nat	0.3299182	0.28511743658283	43.3819444444444	28.4575	mat fx	NA	NA	BG001-17-2	17	cut	8	10
13	BG001	1	Induced 3	NA	NA	0.855	nat	-4.220422709	nat	1	nat	4.530747908	1.71032305195901	43.3819444444444	28.4575	mat fx	NA	NA	BG001-3-1	3	cut	8	50
14	BG001	1	Induced 3	NA	NA	0.931	nat	-0.37239024	nat	1	nat	2.141243875	1.14461886001304	43.3819444444444	28.4575	mat fx	NA	NA	BG001-17-2	17	cut	8	10
15	BG001	2	const	NA	NA	NA	nat	NA	nat	1	nat	NA	NA	43.3819444444444	28.4575	mat fx	NA	NA	BG001-3-1	3	cut	8	50
16	BG001	2	const	NA	NA	NA	nat	NA	nat	1	nat	NA	NA	43.3819444444444	28.4575	mat fx	NA	NA	BG001-8-5	8	cut	8	43
17	BG001	2	const	NA	NA	NA	NA	NA	tie	3	nat	NA	NA	43.3819444444444	28.4575	mat fx	NA	NA	BG001-17-2	17	cut	8	10
18	BG001	2	Induced 1	NA	NA	0.79	inv	7.477596	inv	0	nat	6.5428965	2.02060625944632	43.3819444444444	28.4575	mat fx	NA	NA	BG001-3-1	3	cut	8	50
19	BG001	2	Induced 1	NA	NA	0.954	inv	6.32479995	inv	0	nat	1.4332059	0.889209688251873	43.3819444444444	28.4575	mat fx	NA	NA	BG001-17-2	17	cut	8	10
20	BG001	2	Induced 2	NA	NA	0.919	inv	5.856048047	inv	0	nat	2.525936218	1.26014599475932	43.3819444444444	28.4575	mat fx	NA	NA	BG001-3-1	3	cut	8	50
21	BG001	2	Induced 2	NA	NA	0.94	NA	1.381532462	inv	0	nat	1.855789874	1.04934846824126	43.3819444444444	28.4575	mat fx	NA	NA	BG001-8-5	8	cut	8	43
22	BG001	2	Induced 2	NA	NA	0.977	NA	3.144532842	inv	0	nat	0.732006006	0.549280277801668	43.3819444444444	28.4575	mat fx	NA	NA	BG001-17-2	17	cut	8	10
23	BG001	2	Induced 3	NA	NA	0.76	nat	-3.154972858	nat	1	nat	7.468493127	2.1363525857528	43.3819444444444	28.4575	mat fx	NA	NA	BG001-3-1	3	cut	8	50
24	BG001	2	Induced 3	NA	NA	0.859	NA	-4.385929482	nat	1	nat	4.385929482	1.68378990147042	43.3819444444444	28.4575	mat fx	NA	NA	BG001-8-5	8	cut	8	43
25	BG001	2	Induced 3	NA	NA	0.958	nat	2.420536553	inv	0	nat	1.303365837	0.834371460589326	43.3819444444444	28.4575	mat fx	NA	NA	BG001-17-2	17	cut	8	10
26	BG001	3	const	NA	NA	NA	inv	NA	inv	0	nat	NA	NA	43.3819444444444	28.4575	mat fx	NA	NA	BG001-17-2	17	cut	8	10
27	BG001	3	const	NA	NA	NA	nat	NA	nat	1	nat	NA	NA	43.3819444444444	28.4575	mat fx	NA	NA	BG001-3-1	3	cut	8	50
28	BG001	3	const	NA	NA	NA	nat	NA	nat	1	nat	NA	NA	43.3819444444444	28.4575	mat fx	NA	NA	BG001-8-5	8	cut	8	43
29	BG001	3	Induced 1	NA	NA	0.744	nat	-5.32778715	nat	1	nat	7.9761024	2.19456575691491	43.3819444444444	28.4575	mat fx	NA	NA	BG001-3-1	3	cut	8	50
30	BG001	3	Induced 1	NA	NA	0.877	NA	-0.1246266	nat	1	nat	3.83226795	1.57531591232352	43.3819444444444	28.4575	mat fx	NA	NA	BG001-8-5	8	cut	8	43
31	BG001	3	Induced 1	NA	NA	0.912	NA	-1.246266	nat	1	nat	2.7417852	1.31956282374574	43.3819444444444	28.4575	mat fx	NA	NA	BG001-17-2	17	cut	8	10
32	BG001	3	Induced 2	NA	NA	0.686	nat	-9.196469821	nat	1	nat	9.773826671	2.37711973641778	43.3819444444444	28.4575	mat fx	NA	NA	BG001-3-1	3	cut	8	50
33	BG001	3	Induced 2	NA	NA	0.966	NA	-0.1649591	nat	1	nat	1.061924206	0.72363962740222	43.3819444444444	28.4575	mat fx	NA	NA	BG001-8-5	8	cut	8	43
34	BG001	3	Induced 3	NA	NA	0.887	nat	-3.072219472	nat	1	nat	3.517018924	1.50785224617	43.3819444444444	28.4575	mat fx	NA	NA	BG001-17-2	17	cut	8	10
35	BG001	3	Induced 3	NA	NA	0.963	inv	1.510249303	inv	0	nat	1.15854741	0.769435500099262	43.3819444444444	28.4575	mat fx	NA	NA	BG001-8-5	8	cut	8	43
36	BG001	3	Induced 3	NA	NA	1	nat	1.055105677	inv	0	nat	0	0	43.3819444444444	28.4575	mat fx	NA	NA	BG001-3-1	3	cut	8	50
37	BG001	4	const	NA	NA	NA	nat	NA	nat	1	nat	NA	NA	43.3819444444444	28.4575	mat fx	NA	NA	BG001-17-2	17	cut	8	10
